,seccion,titulo,url,cmp,idx,dominio,crawl_day
28,comunitat-valenciana,"La presunta red de blanqueo de la mafia rusa recuperará casas, coches y relojes de lujo por el error de una jueza",https://www.eldiario.es/comunitat-valenciana/presunta-red-blanqueo-mafia-rusa-recuperara-casas-coches-relojes-lujo-error-jueza_1_9581743.html,Politica,5,www.eldiario.es,2022-10-03
29,galicia,Cunqueiro antes de ser Cunqueiro: un libro rescata los artículos del escritor en 'El Pueblo Gallego' durante la República,https://www.eldiario.es/galicia/cunqueiro-cunqueiro-libro-rescata-articulos-escritor-pueblo-gallego-durante-republica_1_9570695.html,Sociedad,0,www.eldiario.es,2022-10-03
30,andalucia,Sevilla declara este lunes la alerta por sequía y prohibe usar agua para fines no esenciales,https://www.eldiario.es/andalucia/sevilla-declara-lunes-alerta-sequia-prohibe-agua-fines-no-esenciales_1_9588035.html,Sociedad,2,www.eldiario.es,2022-10-03
31,canariasahora,Salvamento recupera los cuatro cadáveres de la neumática localizada con un superviviente,https://www.eldiario.es/canariasahora/migraciones/salvamento-recupera-cuatro-cadaveres-neumatica-localizada-superviviente_1_9588458.html,Sociedad,3,www.eldiario.es,2022-10-03
32,sociedad,Exceso de vacunas: España tiene 44 millones de dosis adaptadas a ómicron para 12 millones de personas,https://www.eldiario.es/sociedad/exceso-vacunas-espana-44-millones-dosis-adaptadas-omicron-12-millones-personas_1_9577213.html,Sociedad,4,www.eldiario.es,2022-10-03
33,castilla-la-mancha,El equipo de fútbol de veteranos al que su polémico alcalde no deja jugar en casa: “Es un asunto político”,https://www.eldiario.es/castilla-la-mancha/provincias/ciudad_real/equipo-futbol-veteranos-polemico-alcalde-no-deja-jugar-casa-asunto-politico_1_9581777.html,Sociedad,6,www.eldiario.es,2022-10-03
34,,"Hablar de cáncer y sexualidad, un gesto para romper tabúes",https://www.eldiario.es/edcreativo/diario-salud/sexualidad-cancer-conversacion-pendiente-medico-paciente_1_9313828.html,elDiariobrands,1,www.eldiario.es,2022-10-03
35,,‘Finanzas para mortales’: un programa de cursos de ciberseguridad y banca digital dirigido a colectivos vulnerables,https://www.eldiario.es/edcreativo/finanzas-mortales-programa-cursos-ciberseguridad-banca-digital-dirigido-colectivos-vulnerables_1_9543471.html,elDiariobrands,2,www.eldiario.es,2022-10-03
36,,Esta es la carrera que te enseña Madrid desde dentro mientras practicas tu deporte favorito,https://www.eldiario.es/edcreativo/carrera-ensena-madrid-practicas-deporte-favorito_1_9558886.html,elDiariobrands,3,www.eldiario.es,2022-10-03
37,internacional,"Los awa guajá, el pueblo amazónico que busca salvar la selva: “Estamos en la lucha y en la esperanza”",https://www.eldiario.es/internacional/awa-guaja-pueblo-amazonico-busca-salvar-selva-lucha-esperanza_130_9586578.html,Política,0,www.eldiario.es,2022-10-03
38,internacional,Florida reporta más de 50 muertos por el huracán Ian y 4 Carolina del Norte,https://www.eldiario.es/internacional/ian-produce-fuertes-lluvias-partes-ee-uu-golpear-sureste_1_9587382.html,Política,1,www.eldiario.es,2022-10-03
39,internacional,EEUU libera a dos familiares de Maduro a cambio de siete ciudadanos estadounidenses,https://www.eldiario.es/internacional/ee-uu-libera-familiares-maduro-cambio-siete-estadounidenses_1_9587626.html,Política,2,www.eldiario.es,2022-10-03
40,economia,El auge del empleo reduce los jóvenes que ni estudian ni trabajan hasta mínimos históricos ,https://www.eldiario.es/economia/auge-empleo-reduce-jovenes-estudian-minimos-historicos-espana_1_9584250.html,Economía,0,www.eldiario.es,2022-10-03
41,andalucia,Viaje de ida en VTC y de vuelta en taxi: del “hay sitio para todos” al “nos vemos ante la Justicia”,https://www.eldiario.es/andalucia/sevilla/viaje-ida-vtc-vuelta-taxi-hay-sitio-vemos-justicia_1_9587529.html,Economía,3,www.eldiario.es,2022-10-03
42,politica,Del impulsor del Zendal a responsables de los recortes o del copago de Rajoy: los últimos fichajes del PP de Feijóo,https://www.eldiario.es/politica/impulsor-zendal-responsables-recortes-copago-rajoy-ultimos-fichajes-pp-feijoo_1_9584726.html,Economía,5,www.eldiario.es,2022-10-03
43,andalucia,Abengoa: un relato del hundimiento de la primera multinacional andaluza,https://www.eldiario.es/andalucia/economia/abengoa-relato-hundimiento-primera-multinacional-andaluza_1_9565905.html,Economía,7,www.eldiario.es,2022-10-03
44,economia,El mercado sentencia al Reino Unido: no tocan rebajas fiscales ‘ideológicas’ que engorden la inflación y la deuda,https://www.eldiario.es/economia/mercado-sentencia-reino-unido-no-tocan-rebajas-fiscales-ideologicas-engorden-inflacion-deuda_1_9585088.html,Economía,9,www.eldiario.es,2022-10-03
45,redaccion,"'Un tema Al Día', “podcast imprescindible” para Apple Podcast",https://www.eldiario.es/redaccion/tema-dia-podcast-imprescindible-apple-podcast_132_9584202.html,Economía,11,www.eldiario.es,2022-10-03
46,blog,El fenómeno ‘Aquí no hay quien viva’,https://www.eldiario.es/blog/al-dia/podcast-fenomeno-no-hay-viva_132_9582001.html,home-sin-identificar,4,www.eldiario.es,2022-10-03
47,carnecruda,Residencias: así los dejaron morir,https://www.eldiario.es/carnecruda/programas/residencias-dejaron-morir_132_9576608.html,home-sin-identificar,6,www.eldiario.es,2022-10-03
48,sociedad,"Escucha 'Máster', la intrahistoria de la investigación del caso Cifuentes en eldiario.es",https://www.eldiario.es/sociedad/caso-cifuentes-cristina-cifuentes-podcast-investigacion_1_1512380.html,home-sin-identificar,7,www.eldiario.es,2022-10-03
49,madrid,"Adiós a la macetas de la calle Pez, el photocall verde de Malasaña",https://www.eldiario.es/madrid/somos/malasana/adios-macetas-calle-pez-photocall-verde-malasana_1_9586284.html,edicion-local,0,www.eldiario.es,2022-10-03
50,catalunya,Junts pide al president la restitución de Jordi Puigneró para un acuerdo de última hora,https://www.eldiario.es/catalunya/junts-pide-aragones-restitucion-puignero-rehacer-crisis-govern_1_9585839.html,edicion-local,2,www.eldiario.es,2022-10-03
51,andalucia,"IU, Podemos, Adelante, Unidas Podemos, Por Andalucía: el puzzle de las izquierdas se redibuja para las municipales",https://www.eldiario.es/andalucia/iu-adelante-unidas-andalucia-puzzle-izquierdas-redibuja-municipales_1_9572091.html,edicion-local,5,www.eldiario.es,2022-10-03
52,galicia,El Gobierno gallego se apunta a la confusión fiscal para concluir que el Gobierno avala sus bajadas de impuestos generalizadas,https://www.eldiario.es/galicia/xunta-apunta-confusion-fiscal-concluir-gobierno-avala-bajadas-impuestos-generalizadas_1_9580103.html,edicion-local,7,www.eldiario.es,2022-10-03
53,comunitat-valenciana,De las zonas ricas del área de València a la pobreza del sur de Alicante: el mapa de la renta en la Comunitat Valenciana,https://www.eldiario.es/comunitat-valenciana/zonas-ricas-area-metropolitana-valencia-pobreza-sur-alicante-mapa-renta-comunitat-valenciana_1_9578070.html,edicion-local,9,www.eldiario.es,2022-10-03
54,canariasahora,Clavijo dice que “después del intento de exterminio” va a tratar de que “Canarias se gobierne desde Canarias”,https://www.eldiario.es/canariasahora/politica/clavijo-dice-despues-exterminio-tratar-canarias-gobierne-canarias_1_9586445.html,edicion-local,11,www.eldiario.es,2022-10-03
55,cultura,El falsificador catalán que vendió cuadros a Madonna y Stallone hasta que la cárcel lo cambió,https://www.eldiario.es/cultura/cine/falsificador-catalan-vendio-cuadros-madonna-stallone-carcel-cambio_1_9584809.html,home-sin-identificar,12,www.eldiario.es,2022-10-03
56,galicia,Viaje (fotográfico) al fondo de la noche: el vigués Nacho Alonso retrata los márgenes de la ciudad,https://www.eldiario.es/galicia/viaje-fotografico-fondo-noche-vigues-nacho-alonso-retrata-primera-persona-margenes-ciudad_130_9581378.html,home-sin-identificar,14,www.eldiario.es,2022-10-03
57,andalucia,La actriz María León queda en libertad provisional tras ser detenida en Sevilla acusada de agredir a un policía local,https://www.eldiario.es/andalucia/detenida-sevilla-actriz-maria-leon-agredir-agente-policia-local_1_9586571.html,home-sin-identificar,16,www.eldiario.es,2022-10-03
58,aragon,Un libro recopila las vicisitudes del homenaje a Félix Romeo y su biblioteca sumergida de Lechago,https://www.eldiario.es/aragon/cultura/libro-recopila-vicisitudes-homenaje-felix-romeo-biblioteca-sumergida-lechago_1_9585378.html,home-sin-identificar,17,www.eldiario.es,2022-10-03
59,consumoclaro,Las 5 patatas bravas más premiadas España (y otras que también merecen serlo),https://www.eldiario.es/consumoclaro/comer/5-patatas-bravas-premiadas-espana-merecen-serlo_1_9581130.html,Consumo claro,0,www.eldiario.es,2022-10-03
60,consumoclaro,"Pilates, ¿timo o práctica saludable?",https://www.eldiario.es/consumoclaro/cuidarse/pilates-timo-practica-saludable_1_9581362.html,Consumo claro,2,www.eldiario.es,2022-10-03
61,consumoclaro,"Zumaque, una especia ácida que alegra los platos",https://www.eldiario.es/consumoclaro/comer/zumaque-especia-acida-alegra-platos_1_9579299.html,Consumo claro,4,www.eldiario.es,2022-10-03
62,consumoclaro,Restaurantes donde probar los fritti napoletani sin tener que viajar a Nápoles,https://www.eldiario.es/consumoclaro/comer/restaurantes-probar-fritti-napoletani-viajar-napoles_1_9579365.html,Consumo claro,6,www.eldiario.es,2022-10-03
63,redaccion,"'Herramientas periodísticas para descifrar el mensaje de los políticos', debate organizado por elDiario.es y la Universidad Carlos III",https://www.eldiario.es/redaccion/herramientas-periodisticas-descifrar-mensaje-politicos-debate-organizado-eldiario-universidad-carlos-iii_132_9575592.html,En-eldiario.es,0,www.eldiario.es,2022-10-03
64,comunitat-valenciana,"¡Feliz cumpleaños, elDiario.es! Crónica de tres días celebrando el periodismo independiente",https://www.eldiario.es/comunitat-valenciana/feliz-cumpleanos-eldiario_1_9565639.html,En-eldiario.es,2,www.eldiario.es,2022-10-03
65,sociedad,Ignacio Escolar: “Gracias a los 60.000 socios y socias que nos permiten que seamos libres”,https://www.eldiario.es/sociedad/ignacio-escolar-gracias-60-000-socios-socias-permiten-seamos-libres_1_9543551.html,En-eldiario.es,4,www.eldiario.es,2022-10-03
66,redaccion,El especial 'España vive en pisos' de elDiario.es gana el premio World Digital Media 2022,https://www.eldiario.es/redaccion/especial-espana-vive-pisos-eldiario-gana-premio-world-digital-media-2022_132_9580857.html,En-eldiario.es,6,www.eldiario.es,2022-10-03
67,andalucia,"El tren Granada-Motril, un proyecto que ya va para 150 años de espera",https://www.eldiario.es/andalucia/granada/tren-granada-motril-proyecto-150-anos-espera_1_9414740.html,Sociedad,4,www.eldiario.es,2022-10-03
68,catalunya,La falta de acuerdo entre Aragonès y Turull deja el futuro del Govern en manos de las bases de Junts,https://www.eldiario.es/catalunya/politica/reunion-aragones-turull-reconducir-crisis-govern-acaba-acuerdo_1_9588635.html,Apertura,0,www.eldiario.es,2022-10-03
69,internacional,"Con más del 60% escrutado, Bolsonaro y Lula igualan sus resultados en Brasil",https://www.eldiario.es/internacional/cierran-colegios-electorales-brasil-comienza-recuento-votos_1_9589190.html,Apertura,7,www.eldiario.es,2022-10-03
70,guia-ocio,"Programa de las fiestas del Barrio del Pilar 2022: fechas, conciertos y pregón de Vicente del Bosque",https://www.eldiario.es/guia-ocio/programa-fiestas-barrio-pilar-2022-fechas-conciertos-pregon-vicente-bosque_1_9568984.html,edicion-local,0,www.eldiario.es,2022-10-03
71,galicia,Las trabajadoras del servicio de ayuda en el hogar piden mejoras en su convenio: “Quieren consolidar la precariedad”,https://www.eldiario.es/galicia/trabajadoras-servicio-ayuda-hogar-piden-mejoras-convenio-quieren-consolidar-precariedad_1_9588910.html,edicion-local,7,www.eldiario.es,2022-10-03
72,comunitat-valenciana,Un informe del CVC sobre la Albufera obvia los efectos nocivos de la ampliación del Puerto señalados por un experto,https://www.eldiario.es/comunitat-valenciana/valencia/informe-cvc-albufera-obvia-efectos-nocivos-ampliacion-puerto-senalados-experto_1_9572800.html,edicion-local,9,www.eldiario.es,2022-10-03
73,canariasahora,"La idea de una tasa turística se reaviva en Canarias, con tareas pendientes para avanzar hacia un destino sostenible",https://www.eldiario.es/canariasahora/turismo/idea-tasa-turistica-reaviva-canarias-tareas-pendientes-avanzar-destino-sostenible-ecotasa-debate_1_9564576.html,edicion-local,11,www.eldiario.es,2022-10-03
74,madrid,Clara del Rey arranca talleres en la diáspora mientras el Ayuntamiento de Madrid acelera obras en el Museo ABC,https://www.eldiario.es/madrid/somos/malasana/clara-rey-arranca-talleres-diaspora-ayuntamiento-madrid-acelera-obras-museo-abc_1_9582813.html,edicion-local,0,www.eldiario.es,2022-10-03
75,internacional,Lula da Silva vence a Bolsonaro en las elecciones de Brasil pero tendrán que enfrentarse en segunda vuelta,https://www.eldiario.es/internacional/lula-da-silva-impone-bolsonaro-elecciones-brasil-buscara-presidencia-segunda-vuelta_1_9589235.html,Apertura,0,www.eldiario.es,2022-10-03
76,politica,El choque del PSOE con sus socios por los desalojos exprés amenaza la ley de vivienda,https://www.eldiario.es/politica/choque-psoe-socios-desalojos-expres-amenaza-ley-vivienda_1_9585607.html,Apertura,3,www.eldiario.es,2022-10-03
77,economia,Por qué el BCE es prisionero de su objetivo del 2% de inflación,https://www.eldiario.es/economia/bce-prisionero-objetivo-2-inflacion_1_9584553.html,Apertura,6,www.eldiario.es,2022-10-03
78,sociedad,La fiebre por cazar codornices en España acaba en inundación de aves invasoras,https://www.eldiario.es/sociedad/fiebre-cazar-codornices-espana-acaba-inundacion-aves-invasoras_1_9575725.html,Apertura,9,www.eldiario.es,2022-10-03
79,sociedad,Condenado un cura y su hermano a seis años de prisión por abusar de un joven con discapacidad,https://www.eldiario.es/sociedad/condenado-cura-hermano-seis-anos-prision-abusar-joven-discapacidad_1_9580228.html,Poti,0,www.eldiario.es,2022-10-03
80,politica,Los ocho de Arrimadas: el núcleo de confianza de la líder que intenta salvar Ciudadanos,https://www.eldiario.es/politica/ocho-arrimadas-nucleo-confianza-lider-salvar-ciudadanos_1_9294213.html,Poti,2,www.eldiario.es,2022-10-03
81,illes-balears,La sombra del balconing es alargada en Mallorca,https://www.eldiario.es/illes-balears/economia/sombra-balconing-alargada-mallorca_1_9580200.html,Poti,4,www.eldiario.es,2022-10-03
82,madrid,El retratista a bajo coste de políticos que quieren ser reyes,https://www.eldiario.es/madrid/retratista-coste-politicos-quieren-reyes_1_9585050.html,Poti,6,www.eldiario.es,2022-10-03
83,blog, Impuestos: claves para seguir el debate,https://www.eldiario.es/blog/al-dia/podcast-impuestos-claves-basicas-seguir-debate_132_9588114.html,Poti,12,www.eldiario.es,2022-10-03
84,sociedad,La presunta caja B de la Complutense llega a juicio con una petición de seis años de cárcel al exgerente de la Universidad,https://www.eldiario.es/sociedad/presunta-caja-b-complutense-llega-juicio-peticion-seis-anos-carcel-exgerente-universidad_1_9585246.html,Poti,14,www.eldiario.es,2022-10-03
85,internacional,Los tártaros de Crimea denuncian en el reclutamiento masivo de Putin como “una manera de deshacerse” de ellos,https://www.eldiario.es/internacional/theguardian/tartaros-crimea-denuncian-reclutamiento-masivo-putin-manera-deshacerse_1_9571675.html,Poti,16,www.eldiario.es,2022-10-03
86,internacional,Diecisiete niños entre el centenar de fallecidos en la tragedia del fútbol de Indonesia,https://www.eldiario.es/internacional/diecisiete-ninos-centenar-fallecidos-disturbios-partido-futbol-indonesia_1_9589482.html,Poti,18,www.eldiario.es,2022-10-03
87,economia,La escasez de fertilizantes por el cierre de fábricas amenaza las cosechas,https://www.eldiario.es/economia/escasez-fertilizantes-cierre-fabricas-amenaza-proximas-cosechas_1_9584735.html,Poti,20,www.eldiario.es,2022-10-03
88,cultura,“Es importante que los artistas homosexuales lo digamos para que no nos miren como al demonio”,https://www.eldiario.es/cultura/javiera-mena-importante-artistas-homosexuales-digamos-no-miren-demonio-eurovision-benidormfest_1_9583811.html,Poti,22,www.eldiario.es,2022-10-03
89,tecnologia,Israel usa a los palestinos para vender su tecnología espía y militar como “probada en combate”,https://www.eldiario.es/tecnologia/israel-palestinos-vender-tecnologia-espia-militar-probada-combate_1_9582932.html,Poti,24,www.eldiario.es,2022-10-03
90,opinion,Error judicial,https://www.eldiario.es/opinion/error-judicial_131_9589113.html,Cinturon1,0,www.eldiario.es,2022-10-03
91,cultura,"Amanda Gorman, cuando una poeta tiene la fuerza de eclipsar a un presidente",https://www.eldiario.es/cultura/libros/amanda-gorman-poeta-fuerza-eclipsar-presidente_1_9585344.html,Cinturon1,2,www.eldiario.es,2022-10-03
92,comunitat-valenciana,El artífice de la demanda colectiva por la anulación del festival Diversity: “Gasté 350 euros en dos entradas”,https://www.eldiario.es/comunitat-valenciana/artifice-demanda-colectiva-anulacion-festival-diversity-gaste-350-euros-entradas_1_9584994.html,Cinturon1,4,www.eldiario.es,2022-10-03
93,consumoclaro,Ortorexia: cuando el deseo de comer sano se convierte en un trastorno,https://www.eldiario.es/consumoclaro/cuidarse/ortorexia-deseo-comer-sano-convierte-trastorno_1_9581025.html,Cinturon1,6,www.eldiario.es,2022-10-03
94,internacional,"Apurar las verduras para sobrevivir en Turquía, el país con un 80% de inflación",https://www.eldiario.es/internacional/apurar-verduras-sobrevivir-turquia-pais-inflacion-80_1_9560251.html,Potito,0,www.eldiario.es,2022-10-03
95,politica,Prohibir a maltratadores ser abogados de víctimas de violencia machista: una norma “cabal” pero “de aplicación difícil”,https://www.eldiario.es/politica/prohibir-maltratadores-abogados-victimas-violencia-machista-norma-cabal-aplicacion-dificil_1_9580040.html,Potito,2,www.eldiario.es,2022-10-03
96,andalucia,Moreno pide al Gobierno mil millones de euros para combatir la sequía tras renunciar a 900 millones en impuestos propios,https://www.eldiario.es/andalucia/moreno-pide-gobierno-mil-millones-euros-combatir-sequia-renunciar-900-millones-impuestos-propios_1_9588510.html,Potito,4,www.eldiario.es,2022-10-03
97,castilla-y-leon,Castilla y León 'cuela' la liberalización de las tragaperras en su ley de impuestos ante “la falta de demanda” de máquinas,https://www.eldiario.es/castilla-y-leon/politica/castilla-leon-cuela-liberalizacion-tragaperras-ley-impuestos-falta-demanda-maquinas_1_9583865.html,Politica,2,www.eldiario.es,2022-10-03
98,murcia,Con la ILP del Mar Menor existe “otra vara de medir” para llevar a los tribunales la desprotección del ecosistema,https://www.eldiario.es/murcia/medio_ambiente/ilp-mar-menor-existe-vara-medir-llevar-tribunales-desproteccion-ecosistema_1_9569905.html,Sociedad,0,www.eldiario.es,2022-10-03
99,andalucia,Los agricultores que respaldaron al PP presionan para que presente la ley que legaliza regadíos en Doñana,https://www.eldiario.es/andalucia/sostenibilidad/agricultores-respaldaron-pp-presionan-presente-urgencia-ley-legaliza-regadios-donana_1_9575988.html,Sociedad,3,www.eldiario.es,2022-10-03
100,,"¿Conoces el 'reboxing'? Si te obsesiona el orden, esto te interesa",https://www.eldiario.es/edcreativo/reciclandoadiario/reciclar-si-vivo-sitio-pequeno_1_9301637.html,elDiariobrands,1,www.eldiario.es,2022-10-03
101,,La Feria Internacional del Libro abre nuevas fronteras a la producción editorial española en su 40 aniversario,https://www.eldiario.es/edcreativo/40-anos-lanzando-produccion-editorial-espanola-mundo-exporta-talento-literario_1_9572139.html,elDiariobrands,3,www.eldiario.es,2022-10-03
102,internacional,"El exprimer ministro Boiko Borisov gana las elecciones en Bulgaria, según el recuento parcial",https://www.eldiario.es/internacional/exprimer-ministro-boiko-borisov-gana-elecciones-bulgaria-recuento-parcial_1_9589442.html,Política,0,www.eldiario.es,2022-10-03
103,consumoclaro,Virus de la hepatitis en alimentos: ¿cómo llegan ahí y cómo resisten?,https://www.eldiario.es/consumoclaro/derechos-del-consumidor/virus-hepatitis-alimentos-llegan-resisten_1_9581476.html,Economía,7,www.eldiario.es,2022-10-03
104,consumoclaro,Alimentos irradiados: mitos y verdades sobre esta técnica,https://www.eldiario.es/consumoclaro/cuidarse/alimentos-irradiados-mitos-verdades-tecnica_1_9579869.html,Consumo claro,2,www.eldiario.es,2022-10-03
105,internacional,La ajustada victoria obliga a Lula a sumar aliados en la segunda vuelta,https://www.eldiario.es/internacional/victoria-estrecha-obliga-lula-sumar-aliados-segunda-vuelta-elecciones-brasil_129_9589535.html,Apertura,2,www.eldiario.es,2022-10-03
106,internacional,Las claves de la resistencia electoral de Bolsonaro,https://www.eldiario.es/internacional/claves-persistencia-electoral-bolsonaro_129_9589526.html,Apertura,3,www.eldiario.es,2022-10-03
107,internacional,Liz Truss da marcha atrás y no bajará los impuestos a los más ricos,https://www.eldiario.es/internacional/gobierno-britanico-da-marcha-no-bajara-impuestos-ricos_1_9589583.html,Apertura,7,www.eldiario.es,2022-10-03
108,catalunya,El exvicepresidente Jordi Puigneró carga contra ERC tras su cese: “No quieren que estemos en el Govern”,https://www.eldiario.es/catalunya/exvicepresidente-jordi-puignero-carga-erc-cese-no-quieren-govern_1_9589556.html,Poti,0,www.eldiario.es,2022-10-03
109,sociedad,Premio Nobel de Medicina para Svante Pääbo por sus descubrimientos sobre la evolución humana,https://www.eldiario.es/sociedad/premio-nobel-medicina-svante-paabo-descubrimientos-evolucion-humana_1_9589916.html,Poti,8,www.eldiario.es,2022-10-03
110,redaccion,elDiario.es estrena nueva app: una experiencia más personalizada y con un atractivo diseño para no perderse nada,https://www.eldiario.es/redaccion/novedades-app-eldiario-es_132_3919915.html,Poti,31,www.eldiario.es,2022-10-03
111,cultura,"Muere Sacheen Littlefeather, la activista indígena que rechazó el Oscar en nombre de Marlon Brando",https://www.eldiario.es/cultura/muere-sacheen-littlefeather-activista-derechos-indigenas-rechazo-oscar-nombre-marlon-brando_1_9589600.html,Cinturon1,0,www.eldiario.es,2022-10-03
112,sociedad,Los colaboradores de Franco en el golpe de 1936 que perderán sus títulos nobiliarios,https://www.eldiario.es/sociedad/colaboradores-franco-golpe-1936-perderan-titulos-nobiliarios_1_9581407.html,Politica,4,www.eldiario.es,2022-10-03
113,guia-ocio,"Semana de película en Madrid: Fiesta del Cine, cortos en plazas y exposición de joyas de nuestros cineastas",https://www.eldiario.es/guia-ocio/semana-pelicula-madrid-fiesta-cine-cortos-plazas-exposicion-joyas-cineastas_1_9589612.html,edicion-local,0,www.eldiario.es,2022-10-03
114,canariasahora,"El juez atribuye al expresidente del Cabildo de Lanzarote todo el catálogo de delitos de corrupción, incluida la pertenencia a organización criminal",https://www.eldiario.es/canariasahora/tribunales/juez-atribuye-expresidente-cabildo-lanzarote-catalogo-delitos-corrupcion-incluida-pertenencia-organizacion-criminal_1_9589986.html,edicion-local,11,www.eldiario.es,2022-10-03
115,andalucia,María León asegura ser “víctima de un abuso policial” y niega haber agredido a una agente,https://www.eldiario.es/andalucia/sevilla/maria-leon-niega-haber-agredido-nadie-asegura-victima-abuso-policial_1_9589953.html,home-sin-identificar,15,www.eldiario.es,2022-10-03
116,economia,"CCOO y UGT respaldan la subida salarial para los funcionarios, mientras Csif la considera “insuficiente”",https://www.eldiario.es/economia/ccoo-ugt-respaldan-subida-salarial-funcionarios-csif-considera-insuficiente_1_9590610.html,Apertura,5,www.eldiario.es,2022-10-03
117,politica,PSOE y Podemos mantienen el choque por el gasto militar a unas horas de presentar los Presupuestos,https://www.eldiario.es/politica/psoe-reitera-compromiso-subir-gasto-militar-dice-no-aceptara-centimo-horas-presentar-cuentas_1_9590537.html,Apertura,7,www.eldiario.es,2022-10-03
118,economia,"El Gobierno eleva una décima, hasta el 4,4%, la previsión de crecimiento de España en 2022",https://www.eldiario.es/economia/gobierno-eleva-decima-4-4-prevision-crecimiento-espana-2022_1_9589945.html,Apertura,10,www.eldiario.es,2022-10-03
119,sociedad,España no cierra la brecha: la mitad de los jóvenes tiene estudios superiores pero un 28% no se saca el Bachillerato ,https://www.eldiario.es/sociedad/espana-no-cierra-brecha-mitad-jovenes-estudios-superiores-28-no-titula-bachillerato_1_9589725.html,Poti,6,www.eldiario.es,2022-10-03
120,economia,La Seguridad Social aplica desde este octubre la nueva cotización por desempleo de las trabajadoras del hogar,https://www.eldiario.es/economia/seguridad-social-aplica-octubre-nueva-cotizacion-desempleo-trabajadoras-hogar_1_9589997.html,Poti,14,www.eldiario.es,2022-10-03
121,andalucia,La Asociación Pro Derechos Humanos de Andalucía alerta de “irregularidades” en la detención de María León,https://www.eldiario.es/andalucia/sevilla/apdha-alerta-irregularidades-detenciones-policiales-casos-actriz-maria-leon_1_9590046.html,Poti,24,www.eldiario.es,2022-10-03
122,catalunya,Suspendidas las convocatorias a inspector e intendente de los Mossos tras encontrar un móvil grabando una reunión del tribunal,https://www.eldiario.es/catalunya/suspendidas-convocatorias-inspector-e-intendente-mossos-encontrar-movil-grabando-reunion-tribunal_1_9590787.html,Politica,6,www.eldiario.es,2022-10-03
123,andalucia,Aparecen cientos de peces muertos en el cauce del río Guadaíra en Sevilla,https://www.eldiario.es/andalucia/sevilla/aparecen-cientos-peces-muertos-cauce-rio-guadaira-sevilla_1_9589590.html,Sociedad,7,www.eldiario.es,2022-10-03
124,economia,La actividad en la industria suma tres meses de contracción por primera vez desde el gran confinamiento de 2020,https://www.eldiario.es/economia/actividad-industria-suma-tres-meses-contraccion-primera-vez-gran-confinamiento_1_9589958.html,Economía,0,www.eldiario.es,2022-10-03
125,economia,Protesta en plena Gran Vía de Madrid por la fragilidad del derecho a la vivienda,https://www.eldiario.es/economia/protesta-plena-gran-via-madrid-fragilidad-derecho-vivienda_1_9589873.html,Economía,2,www.eldiario.es,2022-10-03
126,comunitat-valenciana,El Ayuntamiento y la Generalitat acuerdan crear una entidad pública para gestionar toda la Marina de València,https://www.eldiario.es/comunitat-valenciana/valencia/entidad-participada-ayuntamiento-generalitat-gestionara-marina-valencia_1_9590560.html,edicion-local,9,www.eldiario.es,2022-10-03
127,economia,Europa sin paneles solares chinos: la “distopía” de la que advierte el sector fotovoltaico español,https://www.eldiario.es/economia/europa-paneles-solares-chinos-distopia-advierte-sector-fotovoltaico-espanol_1_9590889.html,Poti,6,www.eldiario.es,2022-10-03
128,internacional,Crecen las críticas a la policía por el uso de gases lacrimógenos durante la avalancha en el estadio de Indonesia,https://www.eldiario.es/internacional/theguardian/crecen-criticas-policia-gases-lacrimogenos-durante-avalancha-estadio-futbol-indonesia_1_9590838.html,Potito,0,www.eldiario.es,2022-10-03
129,politica,Los delitos de odio por orientación sexual aumentaron en un 67% en 2021,https://www.eldiario.es/politica/delitos-odio-orientacion-sexual-aumentaron-67-2021_1_9591000.html,Sociedad,3,www.eldiario.es,2022-10-03
130,sociedad,"El 80% de los españoles quiere más impuestos para las actividades contaminantes, según el CIS",https://www.eldiario.es/sociedad/80-espanoles-quiere-impuestos-actividades-contaminantes-cis_1_9591026.html,Sociedad,8,www.eldiario.es,2022-10-03
131,tecnologia,EEUU multa a Kim Kardashian por hacer publicidad encubierta de criptomonedas en Instagram,https://www.eldiario.es/tecnologia/eeuu-multa-kim-kardashian-publicidad-encubierta-criptomonedas-instagram_1_9591311.html,Política,0,www.eldiario.es,2022-10-03
132,carnecruda,“Algunos turistas piensan que la naturaleza es un zoológico”,https://www.eldiario.es/carnecruda/turistas-piensan-naturaleza-zoologico_1_9591210.html,home-sin-identificar,6,www.eldiario.es,2022-10-03
133,canariasahora,A la deriva y a merced del ciclón Hermine: el testimonio del único superviviente de la última tragedia en la ruta canaria,https://www.eldiario.es/canariasahora/migraciones/deriva-merced-ciclon-hermine-testimonio-unico-superviviente-ultima-tragedia-ruta-canaria_1_9590120.html,edicion-local,11,www.eldiario.es,2022-10-03
134,sociedad,"España detecta su primer caso de gripe aviar H5N1 en un humano, el segundo en Europa",https://www.eldiario.es/sociedad/espana-detecta-primer-caso-gripe-aviar-h5n1-humano-segundo-europa_1_9591302.html,Apertura,19,www.eldiario.es,2022-10-03
135,rastreador,Ayuso dice que sus primas de Barcelona se saben las comarcas catalanas pero no los ríos españoles,https://www.eldiario.es/rastreador/ayuso-dice-primas-barcelona-comarcas-catalanas-no-rios-espanoles_132_9591603.html,Cinturon1,0,www.eldiario.es,2022-10-03
